Date,Team,Acquired,Relinquished,Notes
2014-01-24, Knicks, ,Amare Stoudemire / Amar'e Stoudemire, sprained left ankle (DNP)
2014-01-24, Lakers, ,Jordan Farmar, torn left hamstring (DNP)
2014-01-24, Lakers, ,Steve Blake, torn ligament in right elbow (DNP)
2014-01-24, Lakers, ,Xavier Henry, bone bruise in right knee (DNP)
2014-01-24, Magic, ,Nikola Vucevic, concussion (DNP)
2014-01-24, Magic, ,Ronnie Price, sprained right foot (DNP)
2014-01-24, Pelicans, ,Jason Smith, right knee injury (DNP)
2014-01-24, Pelicans, ,Jrue Holiday, stress fracture in right ankle/tibia (DNP)
2014-01-24, Pelicans, ,Tyreke Evans, illness (DNP)
2014-01-24, Rockets, ,Francisco Garcia, sore left knee (DNP)
2014-01-24, Rockets, ,Greg Smith (b. 1991-01-08), sore right knee (DNP)
2014-01-24, Rockets, ,Ronnie Brewer, sore right calf (DNP)
2014-01-24, Thunder, ,Kevin Durant, sore shoulder (DNP)
2014-01-24, Wizards, ,Martell Webster, flu (DNP)
2014-01-25, Bobcats, ,Kemba Walker, sprained left ankle (DNP)
2014-01-25, Bucks, ,Ekpe Udoh, sprained left ankle (DNP)
2014-01-25, Grizzlies, ,Tony Allen, hand injury (DNP)
2014-01-25, Hawks, ,Jeff Teague, sprained left ankle (DNP)
2014-01-25, Nuggets, ,Darrell Arthur, strained left groin/hip (DNP)
2014-01-25, Rockets, ,Francisco Garcia, sore left knee (DNP)
2014-01-25, Rockets, ,Greg Smith (b. 1991-01-08), sore right knee (DNP)
2014-01-25, Rockets, ,Ronnie Brewer, sore right calf (DNP)
2014-01-26, Bucks, ,Carlos Delfino, surgery on right foot (out for season) (CBC)
2014-01-26, Knicks, ,Amare Stoudemire / Amar'e Stoudemire, sprained left ankle (DNP)
2014-01-26, Knicks, ,Metta World Peace / Ron Artest, stomach virus (DNP)
2014-01-26, Lakers, ,Jordan Farmar, torn left hamstring (DNP)
2014-01-26, Lakers, ,Steve Blake, torn ligament in right elbow (DNP)
2014-01-26, Lakers, ,Xavier Henry, bone bruise in right knee (DNP)
2014-01-26, Magic, ,Nikola Vucevic, concussion (DNP)
2014-01-26, Magic, ,Ronnie Price, sprained right foot (DNP)
2014-01-26, Nuggets, ,Darrell Arthur, strained left groin/hip (DNP)
2014-01-26, Pelicans, ,Jason Smith, right knee injury (DNP)
2014-01-26, Pelicans, ,Jrue Holiday, stress fracture in right ankle/tibia (DNP)
2014-01-27, Bucks, ,Ekpe Udoh, sprained left ankle (DNP)
2014-01-27, Bucks, ,Larry Sanders (b. 1988-11-21), illness (DNP)
2014-01-27, Bucks, ,O.J. Mayo, illness (DNP)
2014-01-27, Bulls, ,Joakim Noah, illness (DNP)
2014-01-27, Hawks, ,Jeff Teague, sprained left ankle (DNP)
2014-01-27, Raptors, ,DeMar DeRozan, sprained left ankle/foot (DNP)
2014-01-28, Grizzlies, ,Tony Allen, hand injury (DNP)
2014-01-28, Knicks, ,Beno Udrih, illness (DTD)
2014-01-28, Lakers, ,Jordan Farmar, torn left hamstring (DNP)
2014-01-28, Lakers, ,Steve Blake, torn ligament in right elbow (DNP)
2014-01-28, Lakers, ,Xavier Henry, bone bruise in right knee (DNP)
2014-01-28, Magic, ,Nikola Vucevic, concussion (DNP)
2014-01-28, Magic, ,Ronnie Price, sprained right foot (DNP)
2014-01-28, Pelicans, ,Jrue Holiday, stress fracture in right ankle/tibia (DNP)
2014-01-28, Pistons, ,Charlie Villanueva, stomach virus (DNP)
2014-01-28, Rockets, ,Francisco Garcia, sore left knee (DNP)
2014-01-28, Rockets, ,Greg Smith (b. 1991-01-08), sore right knee (DNP)
2014-01-28, Rockets, ,James Harden, bruised left thumb (DNP)
2014-01-28, Rockets, ,Ronnie Brewer, sore right calf (DNP)
2014-01-28, Timberwolves, ,Nikola Pekovic, bursitis in right ankle (out indefinitely)
2014-01-29, 76ers, ,Brandon Davies, fractured right pinky finger (DNP)
2014-01-29, Bobcats, ,Ben Gordon, illness (DNP)
2014-01-29, Bobcats, ,Kemba Walker, sprained left ankle (DNP)
2014-01-29, Bucks, ,Ekpe Udoh, sprained left ankle (DNP)
2014-01-29, Bucks, ,O.J. Mayo, illness (DNP)
2014-01-29, Celtics, ,Rajon Rondo, rest / sore right knee (DNP)
2014-01-29, Clippers, ,Antawn Jamison, illness (DNP)
2014-01-29, Grizzlies, ,Tony Allen, hand injury (DNP)
2014-01-29, Magic, ,Ronnie Price, sprained right foot (DNP)
2014-01-29, Nuggets, ,Ty Lawson, strained left rotator cuff (DNP)
2014-01-29, Pelicans, ,Anthony Davis, finger injury (DNP)
2014-01-29, Pelicans, ,Jason Smith, right knee injury (DNP)
2014-01-29, Pelicans, ,Jrue Holiday, stress fracture in right ankle/tibia (DNP)
2014-01-29, Raptors, ,Patrick Patterson, fractured nose (DNP)
2014-01-29, Rockets, ,Francisco Garcia, sore left knee (DNP)
2014-01-29, Rockets, ,Greg Smith (b. 1991-01-08), sore right knee (DNP)
2014-01-29, Rockets, ,James Harden, bruised left thumb (DNP)
2014-01-30, Knicks, ,Beno Udrih, illness (DNP)
2014-01-30, Knicks, ,Iman Shumpert, sprained right shoulder (DNP)
2014-01-30, Knicks, ,Kenyon Martin (Sr.), sprained left ankle (DNP)
2014-01-31, 76ers, ,Brandon Davies, fractured right pinky finger (DNP)
2014-01-31, Bobcats, ,Kemba Walker, sprained left ankle (DNP)
2014-01-31, Bucks, ,Ekpe Udoh, sprained left ankle (DNP)
2014-01-31, Bucks, ,John Henson, sprained right wrist (DNP)
2014-01-31, Bucks, ,O.J. Mayo, illness (DNP)
2014-01-31, Grizzlies, ,Tony Allen, hand injury (DNP)
2014-01-31, Jazz, ,John Lucas III, sore back (DNP)
2014-01-31, Lakers, ,Jordan Farmar, torn left hamstring (DNP)
2014-01-31, Lakers, ,Steve Blake, torn ligament in right elbow (DNP)
2014-01-31, Lakers, ,Xavier Henry, bone bruise in right knee (DNP)
2014-01-31, Nets, ,Andrei Kirilenko, sore right calf (DNP)
2014-01-31, Nuggets, ,Ty Lawson, strained left rotator cuff (DNP)
2014-01-31, Warriors, ,David Lee, sore/sprained left shoulder (DNP)
2014-01-31, Nuggets, ,Nate Robinson, torn ACL in left knee (out indefinitely)
2014-01-31, Nuggets, ,Nate Robinson, surgery on left knee to repair torn ACL (out indefinitely)
2014-02-01, 76ers, ,Brandon Davies, fractured right pinky finger (DNP)
2014-02-01, 76ers, ,Michael Carter-Williams, sore right shoulder (DNP)
2014-02-01, Bobcats, ,Kemba Walker, sprained left ankle (DNP)
2014-02-01, Bucks, ,Ekpe Udoh, sprained left ankle (DNP)
2014-02-01, Bucks, ,O.J. Mayo, illness (DNP)
2014-02-01, Grizzlies, ,Tony Allen, hand injury (DNP)
2014-02-01, Jazz, ,John Lucas III, sore back (DNP)
2014-02-01, Lakers, ,Pau Gasol, strained right groin (DNP)
2014-02-01, Nets, ,Andray Blatche, hip injury (DNP)
2014-02-01, Nets, ,Andrei Kirilenko, sore right calf (DNP)
2014-02-01, Pelicans, ,Jason Smith, right knee injury (DNP)
2014-02-01, Pelicans, ,Jrue Holiday, stress fracture in right ankle/tibia (DNP)
2014-02-01, Rockets, ,Francisco Garcia, sore left knee (DNP)
2014-02-01, Rockets, ,Greg Smith (b. 1991-01-08), sore right knee (DNP)
2014-02-01, Cavaliers, ,Anderson Varejao, bruised left knee (DNP)
2014-02-01, Kings, ,DeMarcus Cousins, sprained left ankle (DNP)
2014-02-02, Magic, ,Jameer Nelson, sore left knee (DNP)
2014-02-03, Bucks, ,Ekpe Udoh, sprained left ankle (DNP)
2014-02-03, Bucks, ,O.J. Mayo, illness (DNP)
2014-02-03, Grizzlies, ,Tony Allen, hand injury (DNP)
2014-02-03, Jazz, ,John Lucas III, sore back (DNP)
2014-02-03, Magic, ,Jameer Nelson, sore left knee (DNP)
2014-02-03, Nets, ,Andray Blatche, hip injury (DNP)
2014-02-03, Nets, ,Andrei Kirilenko, sore right calf (DNP)
2014-02-03, Nets, ,Joe Johnson, right knee tendinitis (DNP)
2014-02-03, Nuggets, ,Nate Robinson, recovering from surgery on left knee to repair torn ACL (DNP)
2014-02-03, Pelicans, ,Jason Smith, right knee injury (DNP)
2014-02-03, Pelicans, ,Jrue Holiday, stress fracture in right ankle/tibia (DNP)
2014-02-03, Pistons, ,Chauncey Billups, left knee injury (DNP)
2014-02-03, Pistons, ,Josh Harrellson, knee injury (DTD)
2014-02-03, Hawks, ,John Jenkins, back injury (out for season)
2014-02-03, Hawks, ,John Jenkins, surgery on lower back (out for season)
2014-02-04, Lakers, ,Jordan Farmar, torn left hamstring (DNP)
2014-02-04, Lakers, ,Pau Gasol, strained right groin (DNP)
2014-02-05, 76ers, ,Brandon Davies, fractured right pinky finger (DNP)
2014-02-05, Bucks, ,Ekpe Udoh, sprained left ankle (DNP)
2014-02-05, Bucks, ,O.J. Mayo, illness (DNP)
2014-02-05, Grizzlies, ,Tony Allen, hand injury (DNP)
2014-02-05, Lakers, ,Jodie Meeks, sprained right ankle (DNP)
2014-02-05, Lakers, ,Jordan Hill, cervical strain (DNP)
2014-02-05, Lakers, ,Pau Gasol, strained right groin (DNP)
2014-02-05, Lakers, ,Steve Nash, rest (DNP)
2014-02-05, Nuggets, ,Nate Robinson, recovering from surgery on left knee to repair torn ACL (DNP)
2014-02-05, Pelicans, ,Jason Smith, right knee injury (DNP)
2014-02-05, Pelicans, ,Tyreke Evans, rib injury (DNP)
2014-02-05, Pistons, ,Chauncey Billups, left knee injury (DNP)
2014-02-05, Rockets, ,Francisco Garcia, sore left knee (DNP)
2014-02-05, Rockets, ,Greg Smith (b. 1991-01-08), sore right knee (DNP)
2014-02-05, Timberwolves, ,Kevin Love, stiff neck (DNP)
2014-02-06, Bulls, ,Carlos Boozer, strained left calf (DNP)
2014-02-06, Lakers, ,Nick Young, fractured patella in left knee (out indefinitely)
2014-02-06, Spurs, ,Boris Diaw, food poisoning (DNP)
2014-02-06, Spurs, ,Tim Duncan, rest (DNP)
2014-02-06, Warriors, ,Nemanja Nedovic, strained left hamstring (DNP)
2014-02-07, 76ers, ,Brandon Davies, fractured right pinky finger (DNP)
2014-02-07, Cavaliers, ,Luol Deng, flu (DNP)
2014-02-07, Celtics, ,Avery Bradley, sore right ankle (DNP)
2014-02-07, Celtics, ,Rajon Rondo, rest / sore right knee (DNP)
2014-02-07, Clippers, ,Hidayet Turkoglu / Hedo Turkoglu, bruised right knee (DNP)
2014-02-07, Lakers, ,Jodie Meeks, sprained right ankle (DNP)
2014-02-07, Lakers, ,Jordan Farmar, rest / torn left hamstring (DNP)
2014-02-07, Lakers, ,Nick Young, fractured patella in left knee (DNP)
2014-02-07, Lakers, ,Pau Gasol, strained right groin (DNP)
2014-02-07, Nets, ,Kevin Garnett, rest (DNP)
2014-02-07, Nuggets, ,Nate Robinson, recovering from surgery on left knee to repair torn ACL (DNP)
2014-02-07, Pacers, ,Lance Stephenson, sore lower back (DNP)
2014-02-07, Pelicans, ,Jason Smith, right knee injury (DNP)
2014-02-08, Bucks, ,Ekpe Udoh, sprained left ankle (DNP)
2014-02-08, Bucks, ,Ersan Ilyasova, back injury (DNP)
2014-02-08, Bucks, ,Luke Ridnour, back injury (DNP)
2014-02-08, Bucks, ,O.J. Mayo, illness (DNP)
2014-02-08, Grizzlies, ,Tony Allen, hand injury (DNP)
2014-02-08, Nuggets, ,Nate Robinson, recovering from surgery on left knee to repair torn ACL (DNP)
2014-02-08, Rockets, ,Francisco Garcia, sore left knee (DNP)
2014-02-08, Rockets, ,Greg Smith (b. 1991-01-08), sore right knee (DNP)
2014-02-08, Spurs, ,Marco Belinelli, back spasms (DNP)
2014-02-08, Spurs, ,Tiago Splitter, bruised right calf (DNP)
2014-02-08, Timberwolves, ,Kevin Love, bruised left quadriceps (DNP)
2014-02-08, Warriors, ,Nemanja Nedovic, strained left hamstring (DNP)
2014-02-09, Bulls, ,Carlos Boozer, strained left calf (DNP)
2014-02-09, Grizzlies, ,Tony Allen, hand injury (DNP)
2014-02-09, Lakers, ,Jodie Meeks, sprained right ankle (DNP)
2014-02-09, Lakers, ,Jordan Farmar, sore left hamstring (DNP)
2014-02-09, Lakers, ,Nick Young, fractured patella in left knee (DNP)
2014-02-09, Lakers, ,Pau Gasol, strained right groin (DNP)
2014-02-09, Nuggets, ,Ty Lawson, fractured left rib (out indefinitely)
2014-02-09, Pelicans, ,Jason Smith, right knee injury (DNP)
2014-02-10, 76ers, ,Hollis Thompson, sprained right ankle (DNP)
2014-02-10, Bucks, ,Ersan Ilyasova, back injury (DNP)
2014-02-10, Bucks, ,Larry Sanders (b. 1988-11-21), fractured right orbital bone (DNP)
2014-02-10, Bucks, ,O.J. Mayo, conditioning (DNP)
2014-02-10, Celtics, ,Avery Bradley, sore right ankle (DNP)
2014-02-10, Celtics, ,Rajon Rondo, rest / sore right knee (DNP)
2014-02-10, Nuggets, ,Nate Robinson, recovering from surgery on left knee to repair torn ACL (DNP)
2014-02-10, Nuggets, ,Ty Lawson, fractured left rib (DNP)
2014-02-10, Pelicans, ,Jason Smith, right knee injury (DNP)
2014-02-10, Spurs, ,Tiago Splitter, bruised right calf/shin (DNP)
2014-02-10, Warriors, ,Nemanja Nedovic, right foot inflammation / strained left hamstring (DNP)
2014-02-11, Bucks, ,John Henson, foot injury (DNP)
2014-02-11, Bulls, ,Carlos Boozer, strained left calf (DNP)
2014-02-11, Cavaliers, ,Anderson Varejao, sore back (DNP)
2014-02-11, Cavaliers, ,C.J. Miles, sore right foot (DNP)
2014-02-11, Grizzlies, ,Tony Allen, hand injury (DNP)
2014-02-11, Lakers, ,Jodie Meeks, sprained right ankle (DNP)
2014-02-11, Lakers, ,Jordan Farmar, sore left hamstring (DNP)
2014-02-11, Lakers, ,Nick Young, fractured patella in left knee (DNP)
2014-02-11, Lakers, ,Pau Gasol, strained right groin (DNP)
2014-02-12, 76ers, ,Hollis Thompson, sprained right ankle (DNP)
2014-02-12, Bucks, ,Ekpe Udoh, swelling in right knee (DNP)
2014-02-12, Bucks, ,Larry Sanders (b. 1988-11-21), fractured right orbital bone (DNP)
2014-02-12, Bucks, ,O.J. Mayo, conditioning (DNP)
2014-02-12, Celtics, ,Avery Bradley, sore right ankle (DNP)
2014-02-12, Grizzlies, ,Tony Allen, hand injury (DNP)
2014-02-12, Hawks, ,DeMarre Carroll, strained left hamstring (DNP)
2014-02-12, Knicks, ,J.R. Smith, fractured left cheekbone (DNP)
2014-02-12, Mavericks, ,Devin Harris, sprained left ankle / knee (DNP)
2014-02-12, Nuggets, ,Nate Robinson, recovering from surgery on left knee to repair torn ACL (DNP)
2014-02-12, Nuggets, ,Ty Lawson, fractured left rib (DNP)
2014-02-12, Pelicans, ,Jason Smith, right knee injury (DNP)
2014-02-12, Rockets, ,Patrick Beverley, strained abdominal (DNP)
2014-02-12, Spurs, ,(William) Tony Parker, rest (DNP)
2014-02-12, Spurs, ,Tiago Splitter, bruised right calf/shin (DNP)
2014-02-12, Warriors, ,Nemanja Nedovic, strained left hamstring (DNP)
2014-02-13, Lakers, ,Jodie Meeks, sprained right ankle (DNP)
2014-02-13, Lakers, ,Steve Nash, back injury (DTD)
2014-02-15, Bucks, ,Larry Sanders (b. 1988-11-21), surgery to repair fractured orbital bone (out indefinitely)
2014-02-18, 76ers, ,Hollis Thompson, sprained right ankle (DNP)
2014-02-18, Bucks, ,Ekpe Udoh, swelling in right knee (DNP)
2014-02-18, Grizzlies, ,Tony Allen, hand injury (DNP)
2014-02-18, Hawks, ,DeMarre Carroll, strained left hamstring (DNP)
2014-02-18, Nuggets, ,Nate Robinson, recovering from surgery on left knee to repair torn ACL (DNP)
2014-02-18, Nuggets, ,Ty Lawson, fractured left rib (DNP)
2014-02-18, Spurs, ,Tiago Splitter, bruised right calf/shin (DNP)
2014-02-18, Cavaliers, ,Anderson Varejao, sore back (DNP)
2014-02-19, Blazers, ,LaMarcus Aldridge, strained left groin (DNP)
2014-02-19, Cavaliers, ,Dion Waiters, hyperextended left knee (DNP)
2014-02-19, Hawks, ,Gustavo Ayon, shoulder injury / stress fracture in right ankle (P) (DNP)
2014-02-19, Knicks, ,Amare Stoudemire / Amar'e Stoudemire, sore left knee (DNP)
2014-02-19, Lakers, ,Nick Young, fractured patella in left knee (DNP)
2014-02-19, Lakers, ,Pau Gasol, strained right groin (DNP)
2014-02-19, Lakers, ,Steve Nash, nerve root irritation (DNP)
2014-02-19, Pistons, ,Chauncey Billups, arthroscopic surgery on left knee (out for season)
2014-02-19, Rockets, ,Ronnie Brewer, sprained right ankle (DNP)
2014-02-19, Spurs, ,Aron Baynes, bruised left knee (DNP)
2014-02-19, Spurs, ,Tim Duncan, rest (DNP)
2014-02-19, Warriors, ,Nemanja Nedovic, strained left hamstring (DNP)
2014-02-20, Bucks, ,Brandon Knight, heel injury (DNP)
2014-02-20, Bucks, ,Ekpe Udoh, swelling in right knee (DNP)
2014-02-20, Nuggets, ,JaVale McGee, surgery on left tibia to repair stress fracture (out for season)
2014-02-20, Nuggets, ,Nate Robinson, recovering from surgery on left knee to repair torn ACL (DNP)
2014-02-20, Nuggets, ,Ty Lawson, fractured left rib (DNP)
2014-02-20, Rockets, ,Ronnie Brewer, sprained right ankle (DNP)
2014-02-20, Timberwolves, ,Ronny Turiaf, bruised right knee (out indefinitely)
2014-02-20, Warriors, ,Nemanja Nedovic, strained left hamstring (DNP)
2014-02-21, Blazers, ,LaMarcus Aldridge, strained left groin (DNP)
2014-02-21, Cavaliers, ,Anderson Varejao, sore back (DNP)
2014-02-21, Cavaliers, ,C.J. Miles, sprained left ankle (DNP)
2014-02-21, Cavaliers, ,Dion Waiters, hyperextended left knee (DNP)
2014-02-21, Celtics, ,Vitor Faverani, knee injury (DNP)
2014-02-21, Hawks, ,Gustavo Ayon, right shoulder injury (DNP)
2014-02-21, Hawks, ,Jeff Teague, sprained left ankle (DNP)
2014-02-21, Lakers, ,Nick Young, fractured patella in left knee (DNP)
2014-02-21, Lakers, ,Steve Nash, nerve root irritation (DNP)
2014-02-21, Nuggets, ,Nate Robinson, recovering from surgery on left knee to repair torn ACL (DNP)
2014-02-21, Nuggets, ,Ty Lawson, fractured left rib (DNP)
2014-02-21, Suns, ,Leandro Barbosa, sprained left big toe (DNP)
2014-02-21, Thunder, ,Kendrick Perkins, strained groin (DTD)
2014-02-22, Bucks, ,Caron Butler, sore left ankle (DNP)
2014-02-22, Bucks, ,Ekpe Udoh, swelling in right knee (DNP)
2014-02-22, Celtics, ,Jared Sullinger, concussion (DNP)
2014-02-22, Celtics, ,Rajon Rondo, rest (DNP)
2014-02-22, Celtics, ,Vitor Faverani, knee injury (DNP)
2014-02-22, Hawks, ,Gustavo Ayon, right shoulder injury (DNP)
2014-02-22, Hawks, ,Paul Millsap, bruised right knee (DNP)
2014-02-22, Magic, ,Arron Afflalo, sprained right ankle (DNP)
2014-02-22, Nets, ,Marcus Thornton (T.), food poisoning (DNP)
2014-02-22, Pelicans, ,Jason Smith, right knee injury (DNP) (P)
2014-02-22, Timberwolves, ,Ronny Turiaf, bone bruise in right knee (DNP)
2014-02-22, Warriors, ,David Lee, stomach flu (DNP)
2014-02-22, Warriors, ,Nemanja Nedovic, strained left hamstring (DNP)
2014-02-23, Blazers, ,LaMarcus Aldridge, strained left groin (DNP)
2014-02-23, Bulls, ,Jimmy Butler, bruised ribs (DNP)
2014-02-23, Cavaliers, ,C.J. Miles, sprained left ankle (DNP)
2014-02-23, Cavaliers, ,Dion Waiters, hyperextended left knee (DNP)
2014-02-23, Heat, ,LeBron James, fractured nose (DTD)
2014-02-23, Lakers, ,Steve Nash, nerve root irritation (DNP)
2014-02-23, Magic, ,Arron Afflalo, sprained right ankle (DNP)
2014-02-23, Nets, ,Kevin Garnett, rest (DNP)
2014-02-23, Nets, ,Marcus Thornton (T.), food poisoning (DNP)
2014-02-23, Nets, ,Shaun Livingston, bruised tailbone (DNP)
2014-02-23, Nuggets, ,Darrell Arthur, strained left groin/hip (DNP)
2014-02-23, Nuggets, ,Nate Robinson, recovering from surgery on left knee to repair torn ACL (DNP)
2014-02-23, Nuggets, ,Ty Lawson, fractured left rib (DNP)
2014-02-23, Suns, ,Leandro Barbosa, sprained left big toe (DNP)
2014-02-23, Timberwolves, ,Ronny Turiaf, bone bruise in right knee (DNP)
2014-02-24, 76ers, ,Danny Granger, DNP
2014-02-24, 76ers, ,Lorenzo Brown, wrist injury (DNP)
2014-02-24, Bucks, ,Caron Butler, sore left ankle (DNP)
2014-02-24, Bucks, ,Ekpe Udoh, swelling in right knee (DNP)
2014-02-24, Celtics, ,Jared Sullinger, concussion (DNP)
2014-02-24, Celtics, ,Vitor Faverani, knee injury (DNP)
2014-02-24, Pelicans, ,Jason Smith, right knee injury (DNP)
2014-02-24, Warriors, ,Nemanja Nedovic, strained left hamstring (DNP)
2014-02-24, Wizards, ,Nene / Nene Hilario / Maybyner Hilario, sprained MCL in right knee (P) / left knee injury (CBC) (out indefinitely)
2014-02-25, Blazers, ,LaMarcus Aldridge, strained left groin (DNP)
2014-02-25, Bulls, ,Jimmy Butler, bruised ribs (DNP)
2014-02-25, Cavaliers, ,C.J. Miles, sprained left ankle (DNP)
2014-02-25, Cavaliers, ,Dion Waiters, hyperextended left knee (DNP)
2014-02-25, Hawks, ,Gustavo Ayon, right shoulder injury (DNP)
2014-02-25, Hawks, ,Paul Millsap, bruised right knee (DNP)
2014-02-25, Lakers, ,Nick Young, fractured patella in left knee (DNP)
2014-02-25, Nuggets, ,Darrell Arthur, strained left groin/hip (DNP)
2014-02-25, Nuggets, ,Nate Robinson, recovering from surgery on left knee to repair torn ACL (DNP)
2014-02-25, Nuggets, ,Ty Lawson, fractured left rib (DNP)
2014-02-25, Rockets, ,Greg Smith (b. 1991-01-08), knee injury (DNP)
2014-02-25, Suns, ,Leandro Barbosa, sprained left big toe (DNP)
2014-02-25, Suns, ,Viacheslav Kravtsov / Sasha Kravtsov, sprained right ankle (DNP)
2014-02-25, Timberwolves, ,Ronny Turiaf, bone bruise in right knee (DNP)
2014-02-25, Wizards, ,Kevin Seraphin, sore right knee (DNP)
2014-02-26, 76ers, ,Lorenzo Brown, wrist injury (DNP)
2014-02-26, Blazers, ,LaMarcus Aldridge, strained left groin (DNP)
2014-02-26, Blazers, ,Thomas Robinson, strained patella in left knee (DNP)
2014-02-26, Cavaliers, ,C.J. Miles, sprained left ankle (DNP)
2014-02-26, Cavaliers, ,Dion Waiters, hyperextended left knee (DNP)
2014-02-26, Celtics, ,Jared Sullinger, concussion (DNP)
2014-02-26, Celtics, ,Kelly Olynyk, sprained left big toe (DNP)
2014-02-26, Celtics, ,Vitor Faverani, knee injury (DNP)
2014-02-26, Hawks, ,Gustavo Ayon, right shoulder injury (DNP)
2014-02-26, Hawks, ,Paul Millsap, bruised right knee (DNP)
2014-02-26, Lakers, ,Chris Kaman, sore back (DNP)
2014-02-26, Lakers, ,Nick Young, fractured patella in left knee (DNP)
2014-02-26, Lakers, ,Steve Nash, nerve root irritation (DNP)
2014-02-26, Pelicans, ,Jason Smith, right knee injury (DNP)
2014-02-26, Rockets, ,Greg Smith (b. 1991-01-08), sore right knee (DNP)
2014-02-26, Suns, ,Goran Dragic, ankle injury (DNP)
2014-02-26, Suns, ,Leandro Barbosa, sprained left big toe (DNP)
2014-02-26, Suns, ,Viacheslav Kravtsov / Sasha Kravtsov, sprained right ankle (DNP)
2014-02-26, Warriors, ,Nemanja Nedovic, strained left hamstring (DNP)
2014-02-27, Bucks, ,Ekpe Udoh, swelling in right knee (DNP)
2014-02-27, Nuggets, ,Darrell Arthur, strained left groin/hip (DNP)
2014-02-27, Nuggets, ,Nate Robinson, recovering from surgery on left knee to repair torn ACL (DNP)
2014-02-27, Nuggets, ,Ty Lawson, fractured left rib (DNP)
2014-02-27, Nuggets, ,Wilson Chandler, sprained right knee (DNP)
2014-02-27, Wizards, ,Kevin Seraphin, sore right knee (DNP)
2014-02-28, Cavaliers, ,Anthony Bennett, sprained left ankle / right knee injury
2014-02-28, Cavaliers, ,Dion Waiters, hyperextended left knee (DNP)
2014-02-28, Celtics, ,Gerald Wallace, torn meniscus in left knee (out indefinitely)
2014-02-28, Clippers, ,Jamal Crawford, strained left calf (DTD)
2014-02-28, Hawks, ,Gustavo Ayon, surgery on right shoulder (out for season)
2014-02-28, Knicks, ,Amare Stoudemire / Amar'e Stoudemire, sore left knee (DNP)
2014-02-28, Lakers, ,Nick Young, fractured patella in left knee (DNP)
2014-02-28, Lakers, ,Steve Nash, nerve root irritation (DNP)
2014-02-28, Pelicans, ,Jason Smith, right knee injury (DNP)
2014-02-28, Pelicans, ,Jrue Holiday, surgery on right tibia to repair stress fracture (out for season)
2014-02-28, Rockets, ,Greg Smith (b. 1991-01-08), surgery on right knee (out indefinitely)
2014-02-28, Suns, ,Leandro Barbosa, sprained left big toe (DNP)
2014-02-28, Suns, ,Viacheslav Kravtsov / Sasha Kravtsov, sprained right ankle (DNP)
2014-02-28, Warriors, ,Nemanja Nedovic, strained left hamstring / strep throat (DNP)
2014-03-01, Bucks, ,Ekpe Udoh, swelling in right knee (DNP)
2014-03-01, Cavaliers, ,C.J. Miles, sprained left ankle (DNP)
2014-03-01, Cavaliers, ,Dion Waiters, hyperextended left knee (DNP)
2014-03-01, Celtics, ,Gerald Wallace, torn meniscus in left knee (DNP)
2014-03-01, Celtics, ,Kelly Olynyk, sprained left big toe (DNP)
2014-03-01, Celtics, ,Vitor Faverani, knee injury (DNP)
2014-03-01, Clippers, ,Jamal Crawford, strained left calf (DNP)
2014-03-01, Nets, ,Kevin Garnett, back spasms (DNP)
2014-03-01, Nuggets, ,Nate Robinson, recovering from surgery on left knee to repair torn ACL (DNP)
2014-03-01, Nuggets, ,Ty Lawson, fractured left rib (DNP)
2014-03-01, Pacers, ,George Hill, bruised left shoulder (DNP)
2014-03-01, Pelicans, ,Jason Smith, right knee injury (DNP)
2014-03-01, Rockets, ,Chandler Parsons, illness (DNP)
2014-03-01, Rockets, ,Greg Smith (b. 1991-01-08), recovering from surgery on right knee (DNP)
2014-03-01, Wizards, ,Kevin Seraphin, sore right knee (DNP)
2014-03-02, Hawks, ,Paul Millsap, bruised right knee (DNP)
2014-03-02, Magic, ,Jameer Nelson, sore calf (DTD)
2014-03-02, Pacers, ,George Hill, bruised left shoulder (DNP)
2014-03-02, Warriors, ,Nemanja Nedovic, strained left hamstring (DNP)
2014-03-03, Bobcats, ,Gerald Henderson Jr., strained right calf (DNP)
2014-03-03, Bucks, ,Ekpe Udoh, swelling in right knee (DNP)
2014-03-03, Grizzlies, ,James Johnson, ankle injury (DNP)
2014-03-03, Lakers, ,Nick Young, fractured patella in left knee (DNP)
2014-03-03, Nets, ,Kevin Garnett, back spasms (DNP)
2014-03-03, Pelicans, ,Jason Smith, right knee injury (DNP)
2014-03-03, Wizards, ,Kevin Seraphin, sore right knee (DNP)
2014-03-03, Wizards, ,Martell Webster, sore back (DNP)
2014-03-04, Cavaliers, ,C.J. Miles, sprained left ankle (DNP)
2014-03-04, Celtics, ,Gerald Wallace," arthroscopic surgery on left knee to repair torn meniscus, and ankle (out indefinitely)"
2014-03-04, Clippers, ,Jamal Crawford, strained left calf (DNP)
2014-03-04, Lakers, ,Nick Young, fractured patella in left knee (DNP)
2014-03-04, Pelicans, ,Jason Smith, right knee injury (DNP)
2014-03-04, Suns, ,Miles Plumlee, sprained right knee (DNP)
2014-03-05, Bobcats, ,Gerald Henderson Jr., strained right calf (DNP)
2014-03-05, Bucks, ,Ekpe Udoh, swelling in right knee (DNP)
2014-03-05, Celtics, ,Gerald Wallace," recovering from arthroscopic surgery on left knee to repair torn meniscus, and ankle (DNP)"
